,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,curve
0,133.98,127.15,172.2,163.53,135.69,145.09,16.98,5.83,1
1,163.77,170.9,166.09,169.52,145.64,155.28,17.55,54.36,1
2,146.9,125.13,170.16,170.69,135.86,146.55,15.4,47.6,1
3,158.59,155.23,176.81,169.58,137.37,161.93,45.66,96.25,1
4,149.31,157.42,160.25,157.07,135.32,142.02,14.47,1.47,1
5,137.53,93.99,169.46,164.63,138.76,140.19,27.87,9.5,1
6,159.48,164.44,175.42,175.11,145.45,170.17,36.19,65.99,1
7,141.88,151.71,160.41,152.55,141.61,139.69,10.18,25.96,1
8,136.87,141.48,159.76,159.08,146.51,146.48,2.13,16.53,1
9,167.33,175.88,174.92,179.15,140.72,154.12,20.89,53.05,1
10,117.38,117.76,173.61,154.64,149.59,143.61,2.45,2.36,1
11,117.96,119.33,173.24,161.54,142.21,147.6,21.44,35.72,1
12,157.17,165.71,170.21,173.09,138.62,155.05,19.93,50.19,1
13,128.43,115.37,167.3,165.26,137.86,145.81,12.63,16.42,1
14,176.49,148.22,179.62,163.18,153.3,160.38,0.24,77.63,1
15,116.99,132.51,156.94,141.89,136.64,136.3,19.33,1.76,1
16,131.85,130.28,165.41,168.09,142.44,151.47,10.86,42.21,1
17,139.02,177.1,170.37,179.32,150.15,159.69,15.1,51.53,1
18,157.57,167.97,161.57,178.9,149.43,166.07,12.39,70.25,1
19,97.25,131.44,154.95,160.76,115.34,148.3,7.84,15.25,1
20,161.64,141.01,153.56,168.34,124.94,148.0,9.94,24.12,1
21,148.16,163.8,174.69,174.08,152.09,160.4,5.69,72.03,1
22,156.66,132.81,166.47,168.97,131.04,147.31,15.03,47.08,1
23,114.65,132.53,154.69,168.75,128.01,151.16,30.41,108.28,1
24,161.37,178.15,175.51,173.81,140.76,162.99,28.99,54.25,1
25,99.44,118.99,164.53,161.34,118.42,143.18,11.16,8.33,1
26,142.83,113.13,163.48,166.0,141.98,149.5,7.78,16.12,1
27,123.45,155.73,156.08,153.94,133.06,139.96,5.3,3.17,1
28,97.2,138.41,177.21,165.64,155.56,165.25,1.63,76.83,1
29,152.21,159.01,164.86,172.2,143.65,164.49,25.11,36.35,1
30,145.1,151.58,168.75,158.87,149.89,154.86,16.37,22.42,1
31,138.33,109.61,159.31,158.33,140.92,151.15,17.31,33.96,1
32,131.96,152.29,166.56,172.4,154.92,167.9,8.32,13.73,1
33,163.13,155.47,171.87,176.56,151.95,166.38,9.13,52.23,1
34,159.41,166.56,169.35,174.29,146.52,162.82,0.37,54.44,1
35,168.46,154.39,160.97,169.71,137.5,149.92,13.85,19.93,1
36,166.59,157.77,167.22,166.68,138.88,152.41,3.51,10.58,1
37,136.15,129.79,159.84,161.05,140.31,141.56,5.07,13.17,1
38,160.2,159.08,154.69,171.39,142.31,156.76,4.66,7.39,1
39,163.18,148.23,166.05,175.34,140.83,150.9,10.35,43.64,1
40,142.41,136.54,170.86,168.28,153.12,155.41,1.21,4.89,1
41,174.12,161.83,176.33,178.95,155.91,168.39,20.05,43.82,1
42,87.38,113.73,168.56,179.55,159.51,171.6,15.31,49.2,1
43,147.69,131.12,170.75,172.87,133.39,147.53,2.02,58.3,1
44,122.42,96.29,151.21,152.17,123.85,137.07,13.98,72.2,1
45,151.51,151.52,167.31,161.93,139.67,143.45,7.2,35.93,1
46,125.1,126.44,153.12,152.83,142.3,145.53,2.27,15.88,1
47,92.39,101.31,156.64,164.67,129.79,144.95,9.96,2.75,1
48,150.44,159.46,150.17,169.27,146.72,161.62,8.72,33.62,1
49,139.77,147.32,176.89,175.19,139.93,158.94,0.77,134.64,1
50,155.02,161.52,174.89,170.14,146.74,150.8,7.79,3.75,1
51,141.39,152.16,168.53,174.76,135.64,153.33,16.06,128.58,1
52,131.82,152.44,167.12,166.37,149.14,151.07,4.69,11.9,1
53,147.23,122.19,177.18,158.37,136.36,153.2,29.81,25.68,1
54,158.21,174.5,174.44,173.53,148.91,166.17,24.3,89.27,1
55,142.21,169.09,178.18,170.41,150.64,167.87,27.22,62.17,1
56,179.0,139.76,160.82,165.79,147.61,178.09,22.22,79.73,1
57,147.19,107.5,162.54,172.57,143.66,125.96,34.73,56.39,1
58,149.44,179.02,119.7,166.31,128.21,140.81,26.15,82.48,1
59,172.46,169.95,173.23,179.52,144.59,163.85,16.55,36.28,1
60,85.35,54.53,175.29,168.03,158.65,159.05,28.62,37.03,1
61,100.95,139.81,174.11,166.5,143.18,147.01,10.7,7.45,1
62,115.7,104.08,165.93,172.64,127.72,147.52,3.6,12.42,1
63,165.2,167.98,177.58,176.73,145.21,157.74,15.48,73.45,1
64,136.57,146.6,132.59,156.13,139.58,146.77,11.95,2.54,1
65,116.03,135.7,162.75,130.79,126.17,125.13,11.55,36.35,1
66,156.87,158.08,134.52,155.41,168.56,167.63,37.04,42.4,1
67,135.76,115.3,166.88,151.1,139.24,137.99,9.01,18.15,1
68,145.68,127.59,169.35,158.91,146.6,152.15,6.99,1.65,1
69,122.39,129.19,160.26,156.95,145.62,143.8,14.85,4.27,1
70,130.57,123.23,178.19,175.02,155.54,154.01,17.81,6.54,1
71,132.33,143.45,176.91,167.86,163.47,166.42,6.63,13.44,1
72,126.67,148.27,156.45,152.63,140.65,148.88,5.2,10.09,1
73,109.03,90.37,164.97,154.25,152.45,147.31,29.82,4.06,1
74,160.97,105.08,177.52,171.36,145.61,150.57,2.31,4.22,1
75,108.67,131.16,167.07,155.14,148.46,157.37,3.22,2.77,1
76,137.41,118.68,163.49,164.99,141.39,155.22,2.13,8.77,1
77,139.4,142.32,173.65,163.44,146.04,151.82,10.62,9.45,1
78,140.37,152.99,169.67,168.16,169.25,172.01,19.24,27.88,1
79,140.41,155.71,169.33,168.72,169.86,170.96,21.62,35.08,1
80,140.41,155.71,169.33,168.72,169.86,170.96,21.62,35.08,1
81,140.41,155.71,169.33,168.72,169.86,170.96,21.62,35.08,1
82,174.74,177.54,179.82,179.36,176.7,174.2,16.51,19.09,0
83,176.28,165.74,176.93,176.13,172.89,179.28,25.28,14.28,0
84,169.27,168.83,174.27,178.06,179.9,172.5,14.3,19.82,0
85,176.61,154.01,177.29,167.83,162.96,167.97,18.23,6.98,0
86,174.05,170.13,173.36,177.71,176.88,175.12,13.58,12.62,0
87,173.03,176.23,173.3,176.72,176.64,175.55,14.17,12.57,0
88,175.55,141.62,178.53,178.81,160.75,175.37,1.25,49.3,0
89,117.42,154.1,162.68,160.99,140.05,144.18,4.77,42.29,0
90,89.54,103.3,157.66,168.24,137.01,158.83,7.92,26.03,0
91,80.85,83.7,149.2,172.19,143.58,170.78,4.55,21.46,0
92,107.66,145.05,160.61,179.12,144.66,172.47,16.69,29.39,0
93,107.1,149.23,160.29,178.68,144.51,172.61,16.68,29.51,0
94,170.88,158.15,178.34,178.96,159.08,175.99,0.05,74.7,0
95,104.99,91.73,160.5,154.22,138.3,137.44,6.14,24.13,0
96,136.47,113.53,177.98,160.7,138.49,142.05,6.37,45.67,0
97,104.4,113.64,167.84,161.95,142.65,142.65,6.79,10.4,0
98,110.59,125.9,169.68,170.68,144.34,154.58,15.08,69.95,0
99,121.57,119.51,146.7,150.01,141.73,147.1,9.67,34.4,0
100,120.51,111.99,147.37,153.39,142.36,148.63,7.93,32.89,0
101,122.78,146.95,168.95,174.33,145.09,154.64,15.26,75.18,0
102,142.58,143.22,171.43,164.85,145.06,149.95,12.59,66.59,0
103,174.39,178.09,166.72,179.29,143.45,161.19,16.16,90.22,0
104,104.74,126.42,144.31,169.39,134.63,160.56,4.38,22.2,0
105,102.09,131.23,164.54,167.35,134.25,146.18,5.09,77.25,0
106,103.41,139.3,164.73,167.57,134.54,146.14,4.8,76.88,0
107,110.76,133.29,157.3,158.28,150.24,158.52,1.04,25.98,0
108,110.17,144.03,168.14,161.85,141.88,150.35,0.81,24.06,0
