,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,curve
0,133.38,128.62,170.32,164.99,135.51,144.76,17.02,6.16,1
1,163.24,172.08,166.51,169.88,145.89,155.5,17.54,57.05,1
2,145.63,125.67,170.26,170.45,135.86,146.38,15.36,47.48,1
3,158.2,154.53,176.78,169.89,137.29,161.98,45.68,96.55,1
4,149.33,157.45,160.26,157.06,135.32,142.02,14.47,1.46,1
5,137.59,93.97,169.48,164.6,138.73,140.17,27.8,11.25,1
6,157.98,176.75,175.28,178.06,145.43,166.62,36.21,65.91,1
7,141.85,151.72,160.41,152.55,141.61,139.7,10.17,25.96,1
8,136.69,141.68,159.78,159.03,146.53,146.43,2.06,16.52,1
9,167.24,175.86,173.92,179.25,140.13,154.33,20.87,52.66,1
10,117.46,121.13,173.36,162.75,149.34,147.93,2.45,2.32,1
11,117.96,119.33,173.24,161.54,142.21,147.6,21.44,35.72,1
12,157.17,165.71,170.21,173.09,138.62,155.05,19.93,50.19,1
13,128.43,115.27,167.35,165.25,137.9,145.82,12.62,16.39,1
14,176.49,148.22,179.62,163.18,153.3,160.38,0.24,77.63,1
15,117.11,132.51,156.95,141.92,136.65,136.3,19.32,1.77,1
16,131.83,130.23,165.41,168.08,142.44,151.46,10.87,42.24,1
17,139.06,177.03,170.4,179.31,150.18,159.7,14.98,52.41,1
18,157.57,168.01,161.57,178.88,149.42,166.09,12.39,70.1,1
19,112.21,131.45,154.08,160.84,114.62,148.63,7.84,16.12,1
20,100.78,116.48,159.14,165.44,133.56,126.67,5.79,7.27,1
21,158.45,153.16,163.66,171.73,141.54,148.35,6.39,16.92,1
22,146.11,159.0,172.69,173.18,149.81,160.2,5.26,71.63,1
23,130.06,123.93,147.64,157.8,118.25,131.99,1.95,147.4,1
24,171.62,147.34,169.0,169.71,132.84,148.66,14.06,47.06,1
25,113.03,121.42,154.25,161.17,127.82,146.59,25.63,79.35,1
26,165.81,166.36,174.74,171.9,140.74,164.16,28.48,54.67,1
27,133.38,99.55,162.99,174.35,141.16,154.21,11.29,10.61,1
28,121.85,143.74,159.1,158.81,134.26,142.47,8.04,1.84,1
29,90.6,127.59,173.36,162.27,151.69,162.16,1.45,64.76,1
30,157.09,164.38,161.84,166.18,142.39,157.92,15.95,33.81,1
31,146.9,152.58,169.1,159.13,150.24,154.92,16.9,22.07,1
32,142.78,119.05,161.71,163.17,142.54,154.88,15.76,33.05,1
33,132.24,155.23,166.47,172.46,154.79,167.74,8.41,13.48,1
34,163.12,154.98,171.74,176.58,151.71,166.42,9.41,51.99,1
35,158.53,165.14,169.17,174.12,146.5,162.77,0.18,54.35,1
36,168.75,155.98,162.1,168.82,138.51,149.32,14.14,19.77,1
37,166.31,157.65,167.35,166.72,139.29,152.61,3.9,9.17,1
38,135.38,128.42,160.09,160.72,140.79,141.27,5.04,11.92,1
39,157.84,159.42,155.08,170.67,142.88,156.51,5.81,9.38,1
40,163.81,149.72,166.23,175.66,140.85,151.12,10.36,43.67,1
41,141.88,135.81,170.56,167.69,153.17,155.58,1.19,5.02,1
42,178.2,172.87,176.35,179.58,156.07,168.41,19.86,43.85,1
43,103.67,128.55,168.26,179.93,159.32,172.12,15.17,50.12,1
44,147.75,129.05,170.67,170.01,133.33,146.15,2.05,58.44,1
45,126.09,128.52,151.15,145.14,123.81,132.82,13.87,72.49,1
46,151.13,146.28,166.96,160.26,139.59,143.24,7.23,36.02,1
47,128.59,140.28,153.7,152.46,143.92,144.01,1.41,27.28,1
48,93.1,97.18,156.74,164.61,129.93,144.71,10.02,2.94,1
49,150.54,159.31,150.25,169.24,146.77,161.61,8.65,33.68,1
50,137.34,144.06,176.24,175.82,139.45,158.56,0.36,135.49,1
51,155.73,160.4,175.85,170.13,147.26,150.92,7.54,5.0,1
52,139.8,150.64,168.66,174.86,135.92,153.39,16.64,128.24,1
53,132.09,152.76,167.55,166.19,149.19,151.35,4.75,11.81,1
54,150.64,124.06,176.64,158.21,136.69,153.03,27.68,26.0,1
55,158.88,174.74,174.38,173.5,148.9,166.22,27.48,89.35,1
56,127.19,166.08,177.21,170.25,152.51,167.39,0.79,60.68,1
57,178.96,139.95,160.89,165.85,147.58,178.06,22.21,79.72,1
58,147.08,107.44,162.58,172.66,143.7,125.94,34.74,56.39,1
59,150.15,178.8,123.03,165.87,128.81,140.65,26.68,83.26,1
60,172.58,168.65,173.03,179.71,144.3,163.74,16.53,36.27,1
61,84.11,52.71,175.58,167.07,158.76,158.83,28.59,37.04,1
62,99.52,140.37,173.83,170.28,142.84,147.68,10.32,7.66,1
63,126.64,99.46,163.97,170.88,128.69,146.42,3.82,13.42,1
64,164.75,167.68,177.5,176.8,145.27,157.72,15.37,73.53,1
65,140.33,146.67,142.91,156.16,144.47,146.68,12.01,2.68,1
66,118.71,135.74,166.26,130.99,128.15,125.31,8.99,36.5,1
67,156.78,157.8,134.57,155.47,168.51,167.67,37.08,42.41,1
68,135.57,115.48,166.8,151.12,139.21,138.0,8.91,18.13,1
69,145.56,130.21,169.2,158.84,146.43,152.1,7.12,1.53,1
70,120.38,130.11,159.69,155.38,144.87,142.73,14.81,4.38,1
71,130.46,121.4,178.01,175.92,155.74,154.72,17.8,6.4,1
72,131.01,142.55,176.66,167.58,163.42,166.26,6.59,13.58,1
