,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,rightankle leftankle,rightankle rightknee,rightankle leftknee,rightankle righthip,rightankle lefthip,rightankle rightshoulder,rightankle leftshoulder,leftankle rightknee,leftankle leftknee,leftankle righthip,leftankle lefthip,leftankle rightshoulder,leftankle leftshoulder,rightknee leftknee,rightknee righthip,rightknee lefthip,rightknee rightshoulder,rightknee leftshoulder,leftknee righthip,leftknee lefthip,leftknee rightshoulder,leftknee leftshoulder,righthip lefthip,righthip rightshoulder,righthip leftshoulder,lefthip rightshoulder,lefthip leftshoulder,rightshoulder leftshoulder,curve
0,133.98,127.15,172.2,163.53,135.69,145.09,16.98,5.83,17035.557,23071.355999999996,21909.749399999997,18179.746199999998,19439.158199999998,2274.9804,781.1034,21895.23,20792.839500000002,17252.983500000002,18448.1935,2159.007,741.2845000000001,28159.865999999998,23365.818,24984.498,2923.9559999999997,1003.9259999999999,22189.3857,23726.5677,2776.7394,953.3799,19687.2621,2304.0162,791.0726999999999,2463.6282,845.8747000000001,98.99340000000001,1
1,163.77,170.9,166.09,169.52,145.64,155.28,17.55,54.36,27988.293,27200.5593,27762.2904,23851.462799999998,25430.2056,2874.1635,8902.5372,28384.781000000003,28970.968000000004,24889.876,26537.352000000003,2999.295,9290.124,28155.576800000003,24189.347599999997,25790.4552,2914.8795,9028.6524,24688.892799999998,26323.0656,2975.0760000000005,9215.1072,22614.979199999998,2555.982,7916.990399999999,2725.164,8441.0208,954.018,1
2,146.9,125.13,170.16,170.69,135.86,146.55,15.4,47.6,18381.597,24996.504,25074.361,19957.834000000003,21528.195000000003,2262.26,6992.4400000000005,21292.1208,21358.4397,17000.1618,18337.8015,1927.002,5956.188,29044.610399999998,23117.9376,24936.948,2620.464,8099.616,23189.943400000004,25014.6195,2628.626,8124.844,19910.283000000003,2092.244,6466.936000000001,2256.8700000000003,6975.780000000001,733.0400000000001,1
3,158.59,155.23,176.81,169.58,137.37,161.93,45.66,96.25,24617.9257,28040.2979,26893.6922,21785.5083,25680.478700000003,7241.2194,15264.2875,27446.2163,26323.9034,21323.9451,25136.3939,7087.801799999999,14940.887499999999,29983.439800000004,24288.3897,28630.8433,8073.1446,17017.9625,23295.2046,27460.089400000004,7743.0228,16322.075,22244.3241,6272.3142,13221.862500000001,7393.7238,15585.7625,4394.775,1
4,149.31,157.42,160.25,157.07,135.32,142.02,14.47,1.47,23504.3802,23926.9275,23452.1217,20204.6292,21205.006200000003,2160.5157,219.4857,25226.554999999997,24725.959399999996,21302.074399999998,22356.7884,2277.8674,231.40739999999997,25170.4675,21685.03,22758.705,2318.8175,235.5675,21254.712399999997,22307.0814,2272.8029,230.8929,19218.1464,1958.0804,198.92039999999997,2055.0294000000004,208.76940000000002,21.2709,1
5,137.53,93.99,169.46,164.63,138.76,140.19,27.87,9.5,12926.4447,23305.8338,22641.5639,19083.6628,19280.3307,3832.9611,1306.535,15927.545399999999,15473.573699999999,13042.052399999999,13176.4581,2619.5013,892.905,27898.199800000002,23514.2696,23756.597400000002,4722.850200000001,1609.8700000000001,22844.0588,23079.4797,4588.2381000000005,1563.985,19452.7644,3867.2412,1318.2199999999998,3907.0953,1331.805,264.765,1
6,159.48,164.44,175.42,175.11,145.45,170.17,36.19,65.99,26224.8912,27975.981599999996,27926.5428,23196.365999999998,27138.711599999995,5771.5812,10524.085199999998,28846.064799999996,28795.0884,23917.798,27982.7548,5951.0836,10851.3956,30717.7962,25514.838999999996,29851.221399999995,6348.449799999999,11575.965799999998,25469.7495,29798.4687,6337.2309000000005,11555.5089,24751.226499999997,5263.835499999999,9598.245499999999,6158.452299999999,11229.518299999998,2388.1780999999996,1
7,141.88,151.71,160.41,152.55,141.61,139.69,10.18,25.96,21524.6148,22758.9708,21643.794,20091.626800000002,19819.2172,1444.3383999999999,3683.2048,24335.8011,23143.360500000003,21483.653100000003,21192.3699,1544.4078,3938.3916000000004,24470.5455,22715.6601,22407.672899999998,1632.9738,4164.2436,21602.605500000005,21309.7095,1552.959,3960.1980000000003,19781.500900000003,1441.5898000000002,3676.1956000000005,1422.0442,3626.3524,264.2728,1
8,136.87,141.48,159.76,159.08,146.51,146.48,2.13,16.53,19364.367599999998,21866.3512,21773.2796,20052.8237,20048.7176,291.5331,2262.4611000000004,22602.844799999995,22506.6384,20728.2348,20723.9904,301.3524,2338.6644,25414.6208,23406.437599999997,23401.6448,340.2888,2640.8328,23306.8108,23302.0384,338.8404,2629.5924000000005,21460.784799999998,312.06629999999996,2421.8103,312.00239999999997,2421.3144,35.2089,1
9,167.33,175.88,174.92,179.15,140.72,154.12,20.89,53.05,29430.0004,29269.3636,29977.169500000004,23546.677600000003,25788.899600000004,3495.5237,8876.8565,30764.929599999996,31508.902000000002,24749.833599999998,27106.6256,3674.1332,9330.434,31336.917999999998,24614.7424,26958.6704,3654.0788,9279.506,25209.988,27610.598,3742.4435000000003,9503.9075,21687.7664,2939.6408,7465.196,3219.5668,8176.066,1108.2145,1
