,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,curve
0,174.74,177.54,179.82,179.36,176.7,174.2,16.51,19.09,0
1,176.24,166.6,176.95,176.17,172.87,179.3,25.29,14.28,0
2,169.42,169.14,174.35,178.09,179.89,172.45,14.3,19.86,0
3,176.42,153.92,177.27,167.83,162.99,167.97,17.74,6.98,0
4,174.05,170.13,173.36,177.71,176.88,175.12,13.58,12.62,0
5,173.03,176.23,173.3,176.72,176.64,175.55,14.17,12.57,0
6,175.55,141.62,178.52,178.81,160.75,175.37,1.25,49.3,0
7,117.41,154.1,162.68,160.99,140.05,144.18,4.77,42.29,0
8,89.55,103.3,157.67,168.25,137.02,158.83,7.92,26.04,0
9,80.79,83.5,149.11,172.16,143.52,170.77,4.55,21.46,0
10,107.95,144.76,160.75,179.11,144.73,172.49,16.8,29.49,0
11,107.09,149.15,160.29,178.71,144.51,172.6,16.68,29.5,0
12,170.86,158.02,178.33,178.95,159.08,176.0,0.05,74.7,0
13,104.97,91.86,160.6,154.16,138.34,137.41,6.1,24.16,0
14,136.89,113.25,177.77,160.68,138.3,142.01,6.38,45.87,0
15,104.5,96.24,167.82,162.54,142.56,142.86,6.83,10.53,0
16,114.19,125.98,169.1,170.76,143.98,154.62,15.04,70.06,0
17,121.48,125.83,146.26,153.8,139.32,152.32,1.73,39.98,0
18,120.61,111.97,147.64,153.36,142.5,148.62,7.94,32.89,0
19,122.88,146.75,168.86,174.29,144.98,154.6,15.27,75.14,0
20,142.5,142.65,171.42,164.81,145.07,149.93,12.6,66.64,0
21,174.63,178.3,166.74,179.44,143.41,161.29,16.13,90.23,0
22,104.66,126.41,144.28,169.3,134.6,160.5,4.38,22.19,0
23,106.61,136.33,164.19,168.14,133.81,145.55,5.54,79.19,0
24,103.4,139.26,164.73,167.55,134.54,146.13,4.8,76.87,0
25,110.73,133.29,157.3,158.28,150.24,158.52,1.04,25.99,0
26,110.49,144.44,168.13,161.79,141.86,150.31,0.82,24.07,0
27,94.73,108.22,162.79,150.01,130.84,140.89,1.72,2.96,0
28,118.66,137.82,146.96,161.14,134.89,155.12,2.04,40.3,0
29,118.87,152.96,157.59,166.04,138.28,153.92,6.89,35.81,0
30,116.98,153.78,157.09,166.05,137.8,153.46,7.12,34.72,0
31,120.34,148.34,159.09,160.11,141.16,152.17,3.35,27.79,0
32,112.65,121.09,156.31,164.96,148.27,159.29,5.46,31.45,0
33,163.57,170.12,177.98,169.53,156.92,174.85,43.1,86.88,0
34,163.28,175.08,171.26,178.91,145.35,160.23,2.46,108.88,0
35,108.07,129.99,171.27,158.74,145.65,152.62,3.31,34.79,0
36,164.04,162.39,172.59,178.5,147.64,161.88,5.86,94.11,0
37,161.63,168.89,171.7,179.06,149.63,161.06,6.23,95.2,0
38,164.22,172.44,178.59,178.92,155.45,161.56,11.97,91.1,0
39,155.3,177.35,174.67,176.56,149.84,160.0,3.94,113.67,0
40,162.79,175.1,171.46,175.9,146.39,157.44,5.32,97.33,0
41,136.68,125.25,167.31,157.42,148.43,150.69,21.71,70.03,0
42,137.01,135.26,168.38,163.79,146.06,152.0,17.83,84.63,0
43,132.23,135.18,167.98,164.14,145.76,152.43,18.89,80.65,0
44,157.69,153.79,165.8,173.2,151.31,161.87,20.15,67.15,0
45,102.05,107.64,162.38,155.78,145.39,155.1,1.09,35.88,0
46,139.88,141.12,154.27,139.88,130.24,130.75,5.21,35.27,0
47,111.38,134.37,127.17,148.26,115.9,138.87,4.07,40.97,0
48,112.16,126.82,170.0,169.11,145.96,155.79,21.45,82.56,0
49,117.63,123.84,171.93,168.27,147.27,155.78,21.63,82.39,0
50,117.55,138.28,128.84,140.13,118.43,136.5,2.97,58.31,0
51,95.62,115.51,152.95,165.52,140.38,158.64,12.57,23.36,0
52,134.36,102.51,137.56,170.21,128.9,158.38,0.02,18.95,0
53,109.93,109.7,146.95,134.71,135.1,144.8,1.74,15.7,0
54,104.82,115.51,164.77,177.52,148.51,169.31,25.33,34.65,0
55,99.11,116.3,165.5,178.44,148.98,169.81,25.14,35.11,0
56,120.93,118.93,143.26,176.05,134.71,168.42,12.87,31.93,0
57,114.07,128.43,148.91,146.37,136.94,147.08,0.52,12.04,0
58,87.75,111.62,134.68,163.41,135.18,165.2,3.93,21.76,0
59,132.14,134.75,166.68,155.63,149.82,144.96,7.52,21.59,0
60,121.81,117.96,139.98,162.24,135.74,161.9,1.75,16.1,0
